运单号,发货地,收货地,揽收人,揽收人ID,客户名称,供应商名称,货物类型,产品类型,重量,体积,运费金额,结算金额,发货时间,揽收时间,派件时间,签收时间,运单状态,对账人,公里数,发货网点,收货网点,异常类型,风险等级
WLYD7746708,深圳浦东新区,杭州朝阳区,张芳,EMP_042,吴丽贸易公司,顺丰速运,食品,合同物流,3373kg,3.75m³,3267元,1669元,2026-05-20 05:53,2026-11-19 15:07,2026-05-20 05:53,2026-07-19 11:55,已退回,杨娜,376km,南山网点,余杭网点,虚假签收,中
WLYD6442281,北京浦东新区,上海余杭区,张敏,EMP_039,张强贸易公司,顺丰速运,服装,整车,177kg,2.17m³,4000元,4697元,2026-10-14 11:39,2025-07-19 04:01,2026-10-14 11:39,2025-11-02 11:14,派送中,杨丽,1892km,南山网点,朝阳网点,重量异常,中
WLYD7408480,南京天河区,深圳南山区,黄芳,EMP_062,陈芳贸易公司,顺丰速运,化工品,合同物流,2937kg,7.98m³,2197元,1130元,2026-09-19 17:44,2025-03-01 12:45,2026-09-19 17:44,2025-04-15 19:05,派送中,黄磊,868km,天河网点,朝阳网点,运费异常,高
WLYD2461507,杭州浦东新区,南京南山区,陈丽,EMP_086,黄芳贸易公司,顺丰速运,食品,整车,3247kg,6.09m³,2908元,598元,2026-03-06 18:00,2025-01-05 20:42,2026-03-06 18:00,2025-06-07 20:22,已签收,陈秀英,937km,余杭网点,余杭网点,超时派送,中
WLYD8331228,北京南山区,广州南山区,李静,EMP_076,杨秀英贸易公司,顺丰速运,食品,整车,4641kg,4.53m³,1467元,1511元,2026-04-26 06:51,2026-09-13 14:12,2026-04-26 06:51,2026-08-24 00:40,派送中,陈静,624km,天河网点,鼓楼网点,运费异常,中
WLYD9712839,南京浦东新区,深圳余杭区,吴秀英,EMP_026,赵娜贸易公司,顺丰速运,食品,合同物流,641kg,3.49m³,1314元,1299元,2026-09-17 22:40,2026-05-25 00:20,2026-09-17 22:40,2025-02-15 13:49,已退回,李伟,852km,鼓楼网点,余杭网点,重量异常,中
WLYD3154004,北京浦东新区,杭州天河区,王磊,EMP_043,杨强贸易公司,顺丰速运,化工品,合同物流,1173kg,9.41m³,171元,1990元,2026-12-27 09:47,2026-04-02 12:22,2026-12-27 09:47,2026-07-17 12:45,已签收,李秀英,828km,余杭网点,浦东网点,包装破损,中
WLYD5268015,上海天河区,深圳朝阳区,李芳,EMP_067,吴娜贸易公司,顺丰速运,服装,整车,2265kg,9.70m³,858元,3720元,2025-02-03 03:56,2025-07-09 01:42,2025-02-03 03:56,2025-09-06 07:34,已签收,陈伟,1185km,鼓楼网点,浦东网点,重量异常,中
WLYD6642897,广州浦东新区,杭州天河区,陈静,EMP_002,周丽贸易公司,顺丰速运,电子产品,合同物流,394kg,1.40m³,249元,2120元,2025-02-20 10:35,2026-11-19 00:13,2025-02-20 10:35,2025-10-25 07:21,已退回,杨娜,491km,余杭网点,天河网点,货物损坏,低
WLYD5852404,深圳朝阳区,深圳鼓楼区,张伟,EMP_057,赵娜贸易公司,顺丰速运,食品,整车,1661kg,3.24m³,2002元,2049元,2026-04-14 11:20,2025-06-21 20:44,2026-04-14 11:20,2025-02-28 09:52,已签收,王秀英,118km,鼓楼网点,南山网点,超时派送,低
WLYD3197566,杭州天河区,广州余杭区,张强,EMP_020,刘伟贸易公司,顺丰速运,电子产品,零担,220kg,9.45m³,1700元,4467元,2026-09-13 18:38,2025-03-14 05:19,2026-09-13 18:38,2026-04-18 18:22,已退回,周芳,1679km,鼓楼网点,浦东网点,超时派送,中
WLYD4006392,深圳天河区,北京朝阳区,吴秀英,EMP_037,黄静贸易公司,顺丰速运,化工品,整车,3224kg,8.35m³,328元,184元,2026-09-23 11:06,2026-07-08 11:53,2026-09-23 11:06,2026-09-19 06:55,已退回,周秀英,1110km,南山网点,余杭网点,运费异常,中
WLYD1407377,广州朝阳区,深圳余杭区,李伟,EMP_034,赵秀英贸易公司,顺丰速运,服装,零担,4542kg,2.76m³,4873元,3721元,2025-12-12 17:12,2026-01-16 18:24,2025-12-12 17:12,2025-12-19 14:20,已退回,李秀英,1927km,朝阳网点,鼓楼网点,运费异常,中
WLYD9459468,上海余杭区,上海鼓楼区,刘伟,EMP_064,陈芳贸易公司,顺丰速运,食品,整车,202kg,0.26m³,1581元,695元,2026-02-15 03:53,2026-10-28 19:57,2026-02-15 03:53,2025-10-24 12:41,已签收,杨洋,1920km,朝阳网点,浦东网点,路线异常,中
WLYD6220314,南京浦东新区,南京余杭区,李敏,EMP_087,王敏贸易公司,顺丰速运,电子产品,整车,1657kg,3.80m³,1495元,1026元,2025-12-28 01:29,2025-06-03 01:54,2025-12-28 01:29,2026-03-13 08:28,已签收,刘芳,1187km,余杭网点,余杭网点,虚假签收,低
WLYD5724288,上海南山区,上海余杭区,张伟,EMP_062,吴伟贸易公司,顺丰速运,服装,零担,3336kg,3.67m³,1561元,1803元,2026-10-05 06:07,2026-04-08 17:51,2026-10-05 06:07,2026-08-27 00:28,已退回,吴秀英,698km,浦东网点,南山网点,货物损坏,低
WLYD7590669,南京余杭区,广州余杭区,陈伟,EMP_006,刘丽贸易公司,顺丰速运,化工品,零担,4715kg,7.49m³,2786元,2746元,2025-02-01 11:37,2026-08-04 18:43,2025-02-01 11:37,2026-12-12 06:06,已签收,陈秀英,1838km,鼓楼网点,浦东网点,运费异常,中
WLYD7045747,北京朝阳区,广州浦东新区,赵芳,EMP_096,吴芳贸易公司,顺丰速运,电子产品,合同物流,4646kg,3.12m³,860元,1037元,2025-04-12 07:17,2025-07-17 02:01,2025-04-12 07:17,2026-09-06 16:45,已签收,张洋,973km,浦东网点,鼓楼网点,运费异常,低
WLYD7403527,广州浦东新区,杭州鼓楼区,张伟,EMP_097,刘洋贸易公司,顺丰速运,食品,合同物流,3845kg,0.96m³,2820元,4649元,2026-02-08 04:11,2026-07-23 21:16,2026-02-08 04:11,2026-07-26 07:29,已签收,刘强,799km,朝阳网点,天河网点,虚假签收,中
WLYD6573215,杭州南山区,北京天河区,陈芳,EMP_040,刘伟贸易公司,顺丰速运,化工品,合同物流,1859kg,4.14m³,328元,816元,2025-04-25 20:59,2025-06-28 10:31,2025-04-25 20:59,2025-06-19 03:42,派送中,张芳,341km,鼓楼网点,朝阳网点,虚假签收,高
WLYD4342819,广州余杭区,广州朝阳区,李芳,EMP_008,周芳贸易公司,顺丰速运,食品,整车,2572kg,0.06m³,3403元,3961元,2025-09-21 07:28,2025-09-03 18:23,2025-09-21 07:28,2026-01-09 01:59,派送中,李强,1353km,朝阳网点,鼓楼网点,重量异常,高
WLYD4478891,南京浦东新区,深圳朝阳区,李敏,EMP_076,刘芳贸易公司,顺丰速运,化工品,零担,2461kg,7.88m³,876元,3356元,2026-06-01 07:09,2025-10-18 20:45,2026-06-01 07:09,2025-07-09 16:59,已退回,周芳,184km,南山网点,朝阳网点,包装破损,高
WLYD3094812,广州鼓楼区,上海朝阳区,周磊,EMP_050,陈静贸易公司,顺丰速运,服装,零担,290kg,3.33m³,3071元,1736元,2025-07-27 08:13,2025-07-17 09:21,2025-07-27 08:13,2026-01-28 17:33,已签收,李敏,808km,余杭网点,余杭网点,未及时签收,低
WLYD9781368,北京余杭区,深圳南山区,王静,EMP_069,黄丽贸易公司,顺丰速运,化工品,整车,462kg,5.15m³,2382元,2435元,2025-03-22 23:29,2026-04-26 19:45,2025-03-22 23:29,2025-05-11 23:24,派送中,杨强,915km,余杭网点,朝阳网点,货物损坏,中
WLYD8021865,南京朝阳区,杭州鼓楼区,周丽,EMP_088,吴秀英贸易公司,顺丰速运,建材,合同物流,3931kg,4.58m³,4964元,3277元,2025-09-06 22:09,2026-08-12 08:19,2025-09-06 22:09,2026-03-21 07:22,已退回,杨静,448km,天河网点,浦东网点,运费异常,中
WLYD6971425,上海朝阳区,广州鼓楼区,李静,EMP_084,李磊贸易公司,顺丰速运,电子产品,零担,3741kg,3.56m³,1688元,2278元,2025-10-14 03:46,2026-07-12 02:02,2025-10-14 03:46,2025-09-03 04:14,已退回,李芳,953km,鼓楼网点,天河网点,超时派送,低
WLYD1957499,南京天河区,上海南山区,吴强,EMP_073,陈娜贸易公司,顺丰速运,服装,合同物流,3158kg,2.09m³,4112元,473元,2026-09-16 03:28,2026-07-20 10:37,2026-09-16 03:28,2025-01-18 09:21,已退回,吴芳,676km,鼓楼网点,朝阳网点,运费异常,中
WLYD5322728,杭州南山区,广州余杭区,陈芳,EMP_061,杨静贸易公司,顺丰速运,服装,整车,4627kg,6.26m³,1126元,1884元,2026-03-05 02:33,2025-05-15 09:18,2026-03-05 02:33,2026-10-02 05:29,已退回,赵洋,409km,南山网点,浦东网点,未及时签收,低
WLYD5791974,南京浦东新区,广州浦东新区,刘丽,EMP_089,王静贸易公司,顺丰速运,化工品,合同物流,4109kg,0.11m³,3564元,247元,2026-05-10 08:11,2026-12-12 23:39,2026-05-10 08:11,2025-12-09 18:25,派送中,张芳,1550km,南山网点,余杭网点,超时派送,低
WLYD3603896,北京天河区,上海朝阳区,吴磊,EMP_074,黄敏贸易公司,顺丰速运,服装,合同物流,4574kg,0.63m³,2342元,2247元,2026-09-28 08:10,2025-06-06 00:06,2026-09-28 08:10,2026-10-20 21:16,已退回,赵强,408km,鼓楼网点,余杭网点,重量异常,高
WLYD4576417,深圳浦东新区,上海朝阳区,杨秀英,EMP_042,王娜贸易公司,顺丰速运,建材,整车,366kg,1.95m³,520元,1035元,2025-02-11 07:30,2025-11-10 23:34,2025-02-11 07:30,2025-01-04 02:41,派送中,王静,478km,朝阳网点,朝阳网点,包装破损,高
WLYD7434768,南京天河区,北京鼓楼区,杨丽,EMP_048,杨秀英贸易公司,顺丰速运,电子产品,零担,3347kg,8.02m³,356元,3269元,2026-08-25 18:46,2025-02-22 16:43,2026-08-25 18:46,2025-11-25 01:37,已签收,赵洋,657km,天河网点,南山网点,未及时签收,高
WLYD7138502,南京浦东新区,上海鼓楼区,黄洋,EMP_034,吴秀英贸易公司,顺丰速运,服装,零担,4085kg,2.53m³,3731元,2990元,2026-11-08 10:44,2026-03-17 21:33,2026-11-08 10:44,2025-06-01 09:41,派送中,吴强,1131km,鼓楼网点,天河网点,包装破损,中
WLYD7399427,南京南山区,北京天河区,杨芳,EMP_015,刘芳贸易公司,顺丰速运,化工品,整车,1633kg,8.36m³,3632元,1753元,2025-04-20 09:52,2026-02-05 23:00,2025-04-20 09:52,2026-04-06 11:57,已签收,赵伟,532km,余杭网点,鼓楼网点,未及时签收,中
WLYD7529800,南京浦东新区,北京天河区,吴静,EMP_013,刘磊贸易公司,顺丰速运,建材,合同物流,4103kg,8.76m³,679元,4651元,2026-09-19 06:33,2026-02-27 11:54,2026-09-19 06:33,2025-08-10 12:05,派送中,刘伟,453km,天河网点,朝阳网点,虚假签收,低
WLYD5410674,广州鼓楼区,上海浦东新区,张敏,EMP_005,张伟贸易公司,顺丰速运,电子产品,整车,4305kg,8.98m³,864元,2978元,2025-05-25 21:25,2025-02-09 14:48,2025-05-25 21:25,2025-04-27 22:13,派送中,周洋,732km,浦东网点,鼓楼网点,货物损坏,高
WLYD6567152,上海朝阳区,杭州天河区,赵洋,EMP_100,陈敏贸易公司,顺丰速运,食品,整车,1807kg,5.17m³,1656元,4590元,2025-10-16 17:50,2025-11-07 02:35,2025-10-16 17:50,2026-01-24 19:52,已退回,王伟,1267km,余杭网点,鼓楼网点,超时派送,高
WLYD9382621,杭州浦东新区,南京朝阳区,刘静,EMP_016,周强贸易公司,顺丰速运,服装,合同物流,1230kg,1.97m³,2792元,331元,2025-02-08 19:01,2026-11-20 05:03,2025-02-08 19:01,2025-05-04 14:10,派送中,杨娜,946km,鼓楼网点,余杭网点,货物损坏,中
WLYD1167245,南京朝阳区,南京余杭区,吴芳,EMP_068,李磊贸易公司,顺丰速运,建材,整车,1205kg,6.00m³,2270元,1765元,2026-04-20 16:22,2026-01-01 07:47,2026-04-20 16:22,2026-12-24 15:51,已退回,陈娜,1158km,朝阳网点,余杭网点,包装破损,高
WLYD4995084,上海鼓楼区,杭州天河区,王秀英,EMP_020,刘强贸易公司,顺丰速运,化工品,零担,3644kg,2.51m³,3470元,4195元,2025-05-24 02:46,2025-07-18 09:16,2025-05-24 02:46,2026-05-27 22:16,已签收,周伟,1671km,南山网点,天河网点,未及时签收,中
WLYD2795677,上海南山区,广州余杭区,杨秀英,EMP_005,王伟贸易公司,顺丰速运,电子产品,零担,3129kg,2.79m³,4777元,3521元,2026-03-14 05:16,2026-10-20 23:38,2026-03-14 05:16,2026-11-05 02:14,已退回,王伟,733km,南山网点,朝阳网点,虚假签收,低
WLYD5518556,杭州天河区,南京天河区,吴磊,EMP_028,周强贸易公司,顺丰速运,服装,零担,1975kg,2.98m³,3049元,711元,2025-08-09 12:31,2025-10-02 07:08,2025-08-09 12:31,2026-06-17 17:02,已签收,王磊,1495km,余杭网点,余杭网点,运费异常,中
WLYD6379239,深圳南山区,上海浦东新区,陈芳,EMP_089,刘静贸易公司,顺丰速运,服装,零担,1264kg,9.33m³,1592元,4118元,2026-04-17 18:21,2026-01-06 01:23,2026-04-17 18:21,2026-05-15 15:04,已退回,赵秀英,1096km,鼓楼网点,余杭网点,货物损坏,中
WLYD8933753,广州朝阳区,上海南山区,王静,EMP_020,王磊贸易公司,顺丰速运,食品,合同物流,717kg,1.57m³,583元,3544元,2026-01-19 23:07,2026-02-14 11:25,2026-01-19 23:07,2025-12-06 04:28,已退回,赵伟,1587km,余杭网点,浦东网点,重量异常,中
WLYD7934673,南京天河区,南京鼓楼区,赵敏,EMP_032,赵磊贸易公司,顺丰速运,建材,合同物流,4687kg,1.03m³,3017元,2473元,2026-07-24 21:09,2026-03-13 11:31,2026-07-24 21:09,2025-03-06 09:50,已退回,杨强,1889km,浦东网点,南山网点,未及时签收,中
WLYD8894602,杭州浦东新区,广州朝阳区,黄敏,EMP_021,张芳贸易公司,顺丰速运,建材,合同物流,3083kg,1.60m³,4582元,754元,2026-07-12 16:18,2026-07-18 16:55,2026-07-12 16:18,2025-07-05 08:00,已签收,赵伟,600km,天河网点,余杭网点,运费异常,高
WLYD2555370,南京朝阳区,上海南山区,刘伟,EMP_076,李娜贸易公司,顺丰速运,化工品,合同物流,4787kg,3.63m³,1489元,1743元,2025-06-01 12:48,2026-06-11 00:10,2025-06-01 12:48,2026-09-08 13:40,已退回,周伟,1452km,浦东网点,南山网点,未及时签收,高
WLYD9280275,深圳浦东新区,北京朝阳区,张伟,EMP_006,黄秀英贸易公司,顺丰速运,食品,合同物流,2030kg,4.66m³,4059元,3075元,2025-09-02 11:14,2025-10-18 13:42,2025-09-02 11:14,2026-03-14 00:06,已退回,黄敏,1854km,余杭网点,鼓楼网点,货物损坏,高
WLYD1937189,南京朝阳区,北京鼓楼区,王洋,EMP_001,黄伟贸易公司,顺丰速运,建材,整车,4125kg,2.14m³,2884元,3743元,2026-05-20 12:16,2026-02-05 17:42,2026-05-20 12:16,2026-09-05 19:46,已签收,陈丽,1994km,浦东网点,余杭网点,货物损坏,中
WLYD1902196,上海浦东新区,南京天河区,张丽,EMP_028,刘磊贸易公司,顺丰速运,食品,合同物流,3231kg,2.89m³,4391元,589元,2025-11-06 01:16,2025-11-18 18:25,2025-11-06 01:16,2025-05-22 09:32,派送中,王丽,414km,鼓楼网点,天河网点,货物损坏,中
WLYD1920583,杭州朝阳区,深圳天河区,张强,EMP_001,赵敏贸易公司,顺丰速运,服装,合同物流,3425kg,1.77m³,4788元,1461元,2025-05-11 19:37,2025-08-23 04:48,2025-05-11 19:37,2026-09-05 05:23,派送中,陈强,1166km,浦东网点,南山网点,路线异常,中
