运单号,发货地,收货地,揽收人,揽收人ID,客户名称,供应商名称,货物类型,产品类型,重量,体积,运费金额,结算金额,发货时间,揽收时间,派件时间,签收时间,运单状态,对账人,公里数,发货网点,收货网点,异常类型,风险等级,region
WLYD2976781,北京南山区,杭州鼓楼区,周芳,EMP_050,杨明货运公司,中通快递,服装鞋帽,合同物流,4565kg,3.76m³,5588元,1525元,2025-01-24 15:44,2025-01-24 15:44,2025-01-24 15:44,2025-01-24 15:44,异常,刘秀英,1942km,余杭网点,朝阳网点,地址错误,中,北京区
WLYD4820663,上海余杭区,深圳南山区,杨磊,EMP_054,王静贸易公司,中通快递,图书文具,合同物流,639kg,5.41m³,8946元,2436元,2025-01-21 15:29,2025-01-21 15:29,2025-01-21 15:29,2025-01-21 15:29,运输中,陈秀英,1006km,天河网点,南山网点,重量异常,高,上海区
WLYD7029362,杭州南山区,杭州余杭区,王娜,EMP_047,黄强运输公司,德邦物流,五金工具,快递,3082kg,7.49m³,4982元,1912元,2025-01-21 09:16,2025-01-21 09:16,2025-01-21 09:16,2025-01-21 09:16,已签收,李秀英,1393km,武林网点,余杭网点,货物损坏,中,浙北区
WLYD2613511,南京南山区,南京浦东新区,周芳,EMP_032,李刚物流公司,顺丰速运,家具家电,冷链物流,3649kg,17.10m³,5206元,5750元,2025-01-08 12:32,2025-01-08 12:32,2025-01-08 12:32,2025-01-08 12:32,异常,张秀英,1369km,浦东网点,余杭网点,地址错误,中,上海区
WLYD5490070,南京鼓楼区,杭州朝阳区,李强,EMP_056,李刚物流公司,极兔速递,食品生鲜,整车,4532kg,20.70m³,9940元,4565元,2025-01-17 15:02,2025-01-17 15:02,2025-01-17 15:02,2025-01-17 15:02,异常,张秀英,2985km,鼓楼网点,浦东网点,超时派送,中,上海区
WLYD6890214,杭州天河区,西安鼓楼区,张伟,EMP_030,黄强运输公司,圆通速递,化工原料,整车,488kg,16.40m³,6224元,7958元,2025-01-23 11:01,2025-01-23 11:01,2025-01-23 11:01,2025-01-23 11:01,已签收,李秀英,2342km,武林网点,朝阳网点,超时派送,中,浙北区
WLYD9958533,深圳鼓楼区,广州南山区,陈静,EMP_031,赵磊物流公司,极兔速递,家具家电,快递,1246kg,18.27m³,8278元,1214元,2025-01-05 19:15,2025-01-05 19:15,2025-01-05 19:15,2025-01-05 19:15,派送中,陈秀英,525km,南山网点,西湖网点,重复下单,中,上海区
WLYD2508728,北京朝阳区,成都朝阳区,吴磊,EMP_042,赵磊物流公司,极兔速递,食品生鲜,冷链物流,4760kg,9.96m³,2232元,2567元,2025-01-01 15:46,2025-01-01 15:46,2025-01-01 15:46,2025-01-01 15:46,已签收,杨秀英,2528km,天河网点,鼓楼网点,重复下单,中,北京区
WLYD1859821,南京浦东新区,成都浦东新区,刘芳,EMP_038,黄强运输公司,德邦物流,化工原料,跨境电商,57kg,11.78m³,5186元,1655元,2025-01-08 19:00,2025-01-08 19:00,2025-01-08 19:00,2025-01-08 19:00,已退回,张秀英,148km,西湖网点,西湖网点,虚假签收,高,上海区
WLYD8693965,北京南山区,北京朝阳区,赵伟,EMP_039,王静贸易公司,申通快递,家具家电,跨境电商,259kg,16.38m³,2045元,7460元,2025-01-25 13:04,2025-01-25 13:04,2025-01-25 13:04,2025-01-25 13:04,已退回,刘秀英,2354km,浦东网点,南山网点,重复下单,低,北京区
WLYD3284131,南京南山区,成都余杭区,陈静,EMP_038,刘洋运输公司,极兔速递,食品生鲜,零担,814kg,11.59m³,4896元,1396元,2025-01-13 18:34,2025-01-13 18:34,2025-01-13 18:34,2025-01-13 18:34,异常,李秀英,585km,天河网点,天河网点,货物损坏,低,上海区
WLYD9905223,南京南山区,南京余杭区,刘芳,EMP_042,周涛货运公司,韵达速运,食品生鲜,跨境电商,4885kg,19.98m³,7534元,1450元,2025-01-16 08:00,2025-01-16 08:00,2025-01-16 08:00,2025-01-16 08:00,派送中,刘秀英,2312km,天河网点,武林网点,虚假签收,低,上海区
WLYD3946785,南京浦东新区,西安南山区,李强,EMP_043,陈华物流公司,极兔速递,服装鞋帽,整车,731kg,17.98m³,7531元,2274元,2025-01-09 11:50,2025-01-09 11:50,2025-01-09 11:50,2025-01-09 11:50,已退回,李秀英,521km,浦东网点,余杭网点,地址错误,低,上海区
WLYD7522123,深圳浦东新区,广州南山区,刘芳,EMP_035,杨明货运公司,德邦物流,服装鞋帽,合同物流,2793kg,19.36m³,1438元,7691元,2025-01-07 17:59,2025-01-07 17:59,2025-01-07 17:59,2025-01-07 17:59,运输中,张秀英,793km,西湖网点,鼓楼网点,虚假签收,中,上海区
WLYD1263567,上海鼓楼区,重庆南山区,黄秀英,EMP_038,杨丽贸易公司,韵达速运,五金工具,零担,2090kg,13.4m³,7910元,7137元,2025-01-14 10:44,2025-01-14 10:44,2025-01-14 10:44,2025-01-14 10:44,异常,李秀英,384km,朝阳网点,天河网点,重量异常,高,上海区
WLYD9029415,北京天河区,南京余杭区,刘芳,EMP_030,陈华物流公司,德邦物流,服装鞋帽,零担,4694kg,20.47m³,1658元,2970元,2025-01-02 09:41,2025-01-02 09:41,2025-01-02 09:41,2025-01-02 09:41,运输中,张秀英,2381km,鼓楼网点,西湖网点,虚假签收,中,北京区
WLYD2711541,北京朝阳区,南京南山区,黄秀英,EMP_041,刘洋运输公司,韵达速运,化工原料,跨境电商,4118kg,11.24m³,4787元,1536元,2025-01-21 09:50,2025-01-21 09:50,2025-01-21 09:50,2025-01-21 09:50,异常,李秀英,2901km,西湖网点,鼓楼网点,重复下单,高,北京区
WLYD5679514,上海余杭区,重庆天河区,张伟,EMP_039,黄强运输公司,极兔速递,电子产品,快递,2343kg,10.92m³,2997元,7326元,2025-01-10 16:05,2025-01-10 16:05,2025-01-10 16:05,2025-01-10 16:05,运输中,杨秀英,823km,南山网点,朝阳网点,地址错误,低,上海区
WLYD3825762,杭州余杭区,西安南山区,周芳,EMP_031,陈华物流公司,极兔速递,五金工具,快递,1858kg,9.16m³,3383元,2037元,2025-01-04 18:01,2025-01-04 18:01,2025-01-04 18:01,2025-01-04 18:01,异常,杨秀英,817km,西湖网点,鼓楼网点,重复下单,中,浙北区
WLYD7741291,深圳朝阳区,成都南山区,陈静,EMP_032,黄强运输公司,德邦物流,电子产品,冷链物流,1406kg,7.39m³,3630元,3841元,2025-01-21 15:01,2025-01-21 15:01,2025-01-21 15:01,2025-01-21 15:01,异常,赵秀英,437km,天河网点,南山网点,重量异常,低,上海区
WLYD1933335,上海浦东新区,杭州鼓楼区,李强,EMP_039,杨丽贸易公司,德邦物流,五金工具,跨境电商,736kg,1.80m³,4227元,4075元,2025-01-27 13:39,2025-01-27 13:39,2025-01-27 13:39,2025-01-27 13:39,派送中,王秀英,1462km,鼓楼网点,天河网点,货物损坏,中,上海区
WLYD4917715,广州朝阳区,重庆天河区,赵伟,EMP_043,杨丽贸易公司,极兔速递,服装鞋帽,整车,3874kg,8.16m³,8155元,4696元,2025-01-21 14:12,2025-01-21 14:12,2025-01-21 14:12,2025-01-21 14:12,异常,黄秀英,378km,余杭网点,朝阳网点,重量异常,低,上海区
WLYD5554694,广州浦东新区,上海天河区,王娜,EMP_045,李刚物流公司,极兔速递,图书文具,零担,3768kg,10.35m³,1303元,208元,2025-01-15 17:53,2025-01-15 17:53,2025-01-15 17:53,2025-01-15 17:53,已签收,陈秀英,1295km,浦东网点,西湖网点,超时派送,中,上海区
WLYD1120489,杭州南山区,成都鼓楼区,陈静,EMP_030,李刚物流公司,德邦物流,图书文具,跨境电商,336kg,16.86m³,4143元,4438元,2025-01-23 20:18,2025-01-23 20:18,2025-01-23 20:18,2025-01-23 20:18,已退回,李秀英,144km,西湖网点,西湖网点,重复下单,低,浙北区
WLYD5087583,南京天河区,杭州朝阳区,杨磊,EMP_057,王静贸易公司,圆通速递,图书文具,跨境电商,489kg,3.36m³,8660元,2965元,2025-01-07 18:58,2025-01-07 18:58,2025-01-07 18:58,2025-01-07 18:58,异常,刘秀英,1702km,鼓楼网点,武林网点,金额异常,高,上海区
WLYD2820848,北京天河区,重庆朝阳区,李强,EMP_051,李刚物流公司,申通快递,家具家电,快递,4714kg,14.90m³,3270元,7529元,2025-01-16 13:55,2025-01-16 13:55,2025-01-16 13:55,2025-01-16 13:55,派送中,黄秀英,2900km,西湖网点,天河网点,重复下单,低,北京区
WLYD4055703,上海南山区,北京天河区,黄秀英,EMP_045,周涛货运公司,极兔速递,食品生鲜,快递,2353kg,10.4m³,4127元,4069元,2025-01-17 17:49,2025-01-17 17:49,2025-01-17 17:49,2025-01-17 17:49,运输中,陈秀英,1253km,天河网点,余杭网点,金额异常,低,上海区
WLYD4756420,上海朝阳区,武汉南山区,张伟,EMP_039,王静贸易公司,德邦物流,家具家电,合同物流,2366kg,16.87m³,8977元,3730元,2025-01-12 19:49,2025-01-12 19:49,2025-01-12 19:49,2025-01-12 19:49,派送中,赵秀英,2101km,鼓楼网点,余杭网点,金额异常,低,上海区
WLYD3776769,广州朝阳区,成都南山区,张伟,EMP_053,陈华物流公司,圆通速递,五金工具,跨境电商,3040kg,15.76m³,9644元,7803元,2025-01-08 16:04,2025-01-08 16:04,2025-01-08 16:04,2025-01-08 16:04,运输中,李秀英,2821km,武林网点,武林网点,重量异常,中,上海区
WLYD7920646,北京余杭区,重庆鼓楼区,杨磊,EMP_051,李刚物流公司,韵达速运,图书文具,快递,4094kg,3.95m³,8022元,7893元,2025-01-28 18:58,2025-01-28 18:58,2025-01-28 18:58,2025-01-28 18:58,已退回,刘秀英,2240km,南山网点,余杭网点,货物损坏,中,北京区
WLYD9551245,深圳余杭区,深圳余杭区,周芳,EMP_057,陈华物流公司,极兔速递,化工原料,零担,3883kg,12.85m³,9319元,7680元,2025-01-17 08:29,2025-01-17 08:29,2025-01-17 08:29,2025-01-17 08:29,已签收,王秀英,2878km,浦东网点,鼓楼网点,虚假签收,高,上海区
WLYD1720817,深圳天河区,成都浦东新区,吴磊,EMP_030,张伟货运公司,极兔速递,图书文具,跨境电商,1342kg,20.20m³,6452元,6539元,2025-01-04 13:15,2025-01-04 13:15,2025-01-04 13:15,2025-01-04 13:15,运输中,刘秀英,2234km,天河网点,南山网点,地址错误,低,上海区
WLYD8961483,南京鼓楼区,杭州朝阳区,黄秀英,EMP_031,赵磊物流公司,申通快递,五金工具,合同物流,4906kg,19.85m³,7471元,2080元,2025-01-26 19:29,2025-01-26 19:29,2025-01-26 19:29,2025-01-26 19:29,运输中,王秀英,530km,武林网点,西湖网点,重量异常,中,上海区
WLYD6981857,深圳浦东新区,南京朝阳区,赵伟,EMP_031,赵磊物流公司,顺丰速运,化工原料,零担,1117kg,14.73m³,2365元,154元,2025-01-23 17:43,2025-01-23 17:43,2025-01-23 17:43,2025-01-23 17:43,派送中,王秀英,411km,武林网点,浦东网点,地址错误,高,上海区
WLYD6256061,上海余杭区,广州朝阳区,李强,EMP_041,周涛货运公司,顺丰速运,图书文具,跨境电商,1791kg,3.83m³,1933元,4061元,2025-01-02 19:00,2025-01-02 19:00,2025-01-02 19:00,2025-01-02 19:00,异常,刘秀英,2139km,西湖网点,浦东网点,超时派送,中,上海区
WLYD1035774,广州南山区,广州天河区,杨磊,EMP_037,黄强运输公司,圆通速递,化工原料,冷链物流,1551kg,7.12m³,6464元,4661元,2025-01-06 18:29,2025-01-06 18:29,2025-01-06 18:29,2025-01-06 18:29,已签收,赵秀英,915km,余杭网点,天河网点,地址错误,低,上海区
WLYD1312691,北京南山区,重庆朝阳区,刘芳,EMP_048,杨丽贸易公司,德邦物流,家具家电,冷链物流,2669kg,15.55m³,1486元,6216元,2025-01-26 08:39,2025-01-26 08:39,2025-01-26 08:39,2025-01-26 08:39,已签收,李秀英,1732km,武林网点,天河网点,虚假签收,低,北京区
WLYD3192078,上海天河区,西安浦东新区,张伟,EMP_057,杨明货运公司,申通快递,服装鞋帽,合同物流,1860kg,13.72m³,4060元,6742元,2025-01-14 13:07,2025-01-14 13:07,2025-01-14 13:07,2025-01-14 13:07,异常,刘秀英,2824km,武林网点,余杭网点,重复下单,低,上海区
WLYD1200801,广州鼓楼区,北京鼓楼区,陈静,EMP_043,杨明货运公司,圆通速递,服装鞋帽,冷链物流,2311kg,12.84m³,2559元,5538元,2025-01-27 15:13,2025-01-27 15:13,2025-01-27 15:13,2025-01-27 15:13,已签收,陈秀英,2030km,余杭网点,南山网点,虚假签收,低,上海区
WLYD1946653,南京朝阳区,武汉南山区,王娜,EMP_036,王静贸易公司,顺丰速运,家具家电,零担,1019kg,20.86m³,6910元,4056元,2025-01-28 17:45,2025-01-28 17:45,2025-01-28 17:45,2025-01-28 17:45,已签收,杨秀英,1510km,鼓楼网点,浦东网点,地址错误,中,上海区
WLYD6489242,杭州鼓楼区,广州浦东新区,李强,EMP_059,刘洋运输公司,圆通速递,五金工具,跨境电商,4411kg,3.99m³,7752元,1852元,2025-01-18 12:27,2025-01-18 12:27,2025-01-18 12:27,2025-01-18 12:27,已签收,刘秀英,2710km,南山网点,鼓楼网点,金额异常,高,浙北区
WLYD7912332,杭州南山区,上海余杭区,黄秀英,EMP_039,赵磊物流公司,申通快递,图书文具,零担,1158kg,13.63m³,5147元,808元,2025-01-02 14:34,2025-01-02 14:34,2025-01-02 14:34,2025-01-02 14:34,派送中,杨秀英,484km,朝阳网点,西湖网点,地址错误,中,浙北区
WLYD5251089,杭州南山区,北京余杭区,吴磊,EMP_047,周涛货运公司,德邦物流,化工原料,零担,865kg,19.52m³,5473元,3361元,2025-01-27 19:25,2025-01-27 19:25,2025-01-27 19:25,2025-01-27 19:25,已签收,李秀英,2171km,余杭网点,南山网点,重复下单,中,浙北区
WLYD1217963,广州朝阳区,深圳天河区,陈静,EMP_046,张伟货运公司,韵达速运,服装鞋帽,零担,4269kg,7.57m³,5362元,6214元,2025-01-03 18:52,2025-01-03 18:52,2025-01-03 18:52,2025-01-03 18:52,已签收,赵秀英,2557km,武林网点,天河网点,超时派送,低,上海区
WLYD6529874,上海鼓楼区,南京余杭区,张伟,EMP_046,周涛货运公司,申通快递,化工原料,快递,2067kg,10.21m³,9677元,2321元,2025-01-24 09:49,2025-01-24 09:49,2025-01-24 09:49,2025-01-24 09:49,运输中,王秀英,1441km,浦东网点,浦东网点,金额异常,低,上海区
WLYD6037707,上海余杭区,成都浦东新区,刘芳,EMP_057,周涛货运公司,圆通速递,食品生鲜,整车,2147kg,18.78m³,884元,5950元,2025-01-14 15:23,2025-01-14 15:23,2025-01-14 15:23,2025-01-14 15:23,异常,陈秀英,2450km,西湖网点,浦东网点,虚假签收,中,上海区
WLYD2780682,广州鼓楼区,重庆南山区,陈静,EMP_034,王静贸易公司,顺丰速运,服装鞋帽,合同物流,2897kg,6.33m³,5336元,2059元,2025-01-18 14:51,2025-01-18 14:51,2025-01-18 14:51,2025-01-18 14:51,已签收,王秀英,2733km,鼓楼网点,武林网点,金额异常,低,上海区
WLYD2827836,南京天河区,成都鼓楼区,李强,EMP_037,周涛货运公司,中通快递,五金工具,整车,4219kg,5.43m³,6724元,342元,2025-01-26 08:58,2025-01-26 08:58,2025-01-26 08:58,2025-01-26 08:58,运输中,刘秀英,986km,武林网点,朝阳网点,货物损坏,中,上海区
WLYD3662002,杭州朝阳区,重庆浦东新区,杨磊,EMP_051,周涛货运公司,德邦物流,五金工具,跨境电商,3554kg,18.28m³,4621元,5826元,2025-01-12 14:46,2025-01-12 14:46,2025-01-12 14:46,2025-01-12 14:46,运输中,杨秀英,2133km,南山网点,余杭网点,超时派送,高,浙北区
WLYD6457475,北京朝阳区,上海鼓楼区,张伟,EMP_058,陈华物流公司,德邦物流,电子产品,零担,3465kg,14.89m³,2655元,1763元,2025-01-09 09:59,2025-01-09 09:59,2025-01-09 09:59,2025-01-09 09:59,异常,杨秀英,1016km,浦东网点,武林网点,虚假签收,中,北京区
WLYD3008332,深圳浦东新区,广州朝阳区,黄秀英,EMP_041,陈华物流公司,圆通速递,电子产品,冷链物流,4966kg,18.6m³,4012元,290元,2025-01-14 20:07,2025-01-14 20:07,2025-01-14 20:07,2025-01-14 20:07,异常,黄秀英,1335km,浦东网点,朝阳网点,重量异常,高,上海区
WLYD3100969,北京余杭区,深圳南山区,周芳,EMP_038,王静贸易公司,顺丰速运,五金工具,零担,2890kg,8.37m³,9438元,7041元,2025-01-04 17:34,2025-01-04 17:34,2025-01-04 17:34,2025-01-04 17:34,派送中,赵秀英,1583km,天河网点,鼓楼网点,金额异常,高,北京区
WLYD6270669,杭州南山区,上海鼓楼区,杨磊,EMP_050,张伟货运公司,中通快递,家具家电,冷链物流,416kg,18.78m³,4852元,4895元,2025-01-08 14:39,2025-01-08 14:39,2025-01-08 14:39,2025-01-08 14:39,已签收,黄秀英,167km,鼓楼网点,鼓楼网点,虚假签收,低,浙北区
WLYD7656735,杭州南山区,南京余杭区,刘芳,EMP_052,周涛货运公司,圆通速递,家具家电,整车,2373kg,7.50m³,9253元,2718元,2025-01-13 20:14,2025-01-13 20:14,2025-01-13 20:14,2025-01-13 20:14,已退回,刘秀英,2536km,余杭网点,西湖网点,货物损坏,高,浙北区
WLYD9875624,杭州余杭区,深圳天河区,黄秀英,EMP_037,周涛货运公司,圆通速递,家具家电,冷链物流,649kg,16.7m³,1149元,3680元,2025-01-09 20:02,2025-01-09 20:02,2025-01-09 20:02,2025-01-09 20:02,已签收,李秀英,2458km,武林网点,鼓楼网点,超时派送,高,浙北区
WLYD4023935,上海浦东新区,西安鼓楼区,周芳,EMP_057,杨丽贸易公司,圆通速递,家具家电,零担,1238kg,9.9m³,8958元,5515元,2025-01-27 12:53,2025-01-27 12:53,2025-01-27 12:53,2025-01-27 12:53,已签收,陈秀英,2984km,浦东网点,武林网点,虚假签收,低,上海区
WLYD3923794,广州天河区,南京浦东新区,赵伟,EMP_034,黄强运输公司,圆通速递,食品生鲜,冷链物流,554kg,16.67m³,6557元,92元,2025-01-27 15:35,2025-01-27 15:35,2025-01-27 15:35,2025-01-27 15:35,异常,杨秀英,2627km,鼓楼网点,余杭网点,重复下单,高,上海区
WLYD6147649,上海朝阳区,重庆南山区,刘芳,EMP_055,王静贸易公司,圆通速递,家具家电,冷链物流,2448kg,4.26m³,2325元,7748元,2025-01-19 16:46,2025-01-19 16:46,2025-01-19 16:46,2025-01-19 16:46,运输中,黄秀英,1272km,武林网点,南山网点,重复下单,中,上海区
WLYD2620208,广州天河区,深圳余杭区,黄秀英,EMP_031,杨丽贸易公司,顺丰速运,食品生鲜,合同物流,1961kg,14.35m³,3257元,5919元,2025-01-26 11:24,2025-01-26 11:24,2025-01-26 11:24,2025-01-26 11:24,已签收,赵秀英,2833km,天河网点,南山网点,重复下单,低,上海区
WLYD7468269,上海朝阳区,上海朝阳区,吴磊,EMP_058,陈华物流公司,韵达速运,化工原料,整车,1434kg,9.85m³,6616元,5302元,2025-01-20 17:21,2025-01-20 17:21,2025-01-20 17:21,2025-01-20 17:21,派送中,杨秀英,2362km,南山网点,鼓楼网点,重量异常,中,上海区
WLYD1122952,广州朝阳区,南京鼓楼区,黄秀英,EMP_058,杨丽贸易公司,韵达速运,电子产品,跨境电商,470kg,20.99m³,9117元,6717元,2025-01-16 12:26,2025-01-16 12:26,2025-01-16 12:26,2025-01-16 12:26,派送中,陈秀英,2240km,浦东网点,武林网点,金额异常,低,上海区
WLYD6396602,杭州鼓楼区,上海鼓楼区,杨磊,EMP_030,赵磊物流公司,德邦物流,食品生鲜,零担,4870kg,8.4m³,7274元,2866元,2025-01-10 20:32,2025-01-10 20:32,2025-01-10 20:32,2025-01-10 20:32,已签收,赵秀英,2689km,南山网点,余杭网点,虚假签收,中,浙北区
WLYD1727788,深圳朝阳区,西安朝阳区,刘芳,EMP_045,杨明货运公司,中通快递,服装鞋帽,冷链物流,517kg,10.63m³,9297元,2531元,2025-01-21 16:19,2025-01-21 16:19,2025-01-21 16:19,2025-01-21 16:19,异常,赵秀英,2518km,余杭网点,武林网点,超时派送,高,上海区
WLYD8521819,上海天河区,北京鼓楼区,张伟,EMP_041,杨明货运公司,申通快递,图书文具,快递,4242kg,17.96m³,5406元,6716元,2025-01-21 13:54,2025-01-21 13:54,2025-01-21 13:54,2025-01-21 13:54,派送中,李秀英,1669km,鼓楼网点,余杭网点,重量异常,中,上海区
WLYD7876567,上海鼓楼区,武汉南山区,黄秀英,EMP_056,刘洋运输公司,德邦物流,家具家电,跨境电商,3313kg,11.66m³,5800元,1230元,2025-01-19 10:35,2025-01-19 10:35,2025-01-19 10:35,2025-01-19 10:35,已签收,陈秀英,1298km,武林网点,朝阳网点,金额异常,低,上海区
WLYD7022219,杭州浦东新区,深圳鼓楼区,张伟,EMP_032,张伟货运公司,圆通速递,化工原料,冷链物流,1647kg,13.1m³,2027元,663元,2025-01-24 11:05,2025-01-24 11:05,2025-01-24 11:05,2025-01-24 11:05,已签收,赵秀英,2265km,鼓楼网点,朝阳网点,货物损坏,高,浙北区
WLYD8551382,杭州鼓楼区,上海朝阳区,黄秀英,EMP_041,李刚物流公司,韵达速运,图书文具,零担,771kg,19.17m³,2701元,682元,2025-01-23 19:14,2025-01-23 19:14,2025-01-23 19:14,2025-01-23 19:14,异常,赵秀英,513km,鼓楼网点,朝阳网点,虚假签收,中,浙北区
WLYD9049199,广州余杭区,重庆朝阳区,杨磊,EMP_048,杨丽贸易公司,极兔速递,五金工具,跨境电商,3191kg,17.54m³,5239元,3911元,2025-01-09 14:11,2025-01-09 14:11,2025-01-09 14:11,2025-01-09 14:11,异常,黄秀英,2440km,武林网点,鼓楼网点,地址错误,高,上海区
WLYD4712604,深圳鼓楼区,杭州天河区,刘芳,EMP_032,张伟货运公司,申通快递,家具家电,整车,2338kg,7.3m³,8341元,1295元,2025-01-21 16:07,2025-01-21 16:07,2025-01-21 16:07,2025-01-21 16:07,派送中,张秀英,1529km,武林网点,南山网点,超时派送,高,上海区
